,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3
310,4,11,1,1,3,12,0.00302266,-0.01305758,0.01066297
311,1,11,1,1,4,12,0.0,-0.0,0.0
312,2,11,1,1,4,12,-0.0,0.0,-0.0
313,3,11,1,1,4,12,0.02582638,0.00885518,-0.01448772
314,4,11,1,1,4,12,0.06109047,-0.02456045,-0.10115693
315,1,11,1,1,5,12,-0.0,-0.0,0.0
316,2,11,1,1,5,12,0.0,-0.0,0.0
317,3,11,1,1,5,12,0.0,0.0,-0.0
318,4,11,1,1,5,12,0.02949675,0.04028985,0.01613516
319,1,12,1,1,1,11,-0.19249073,0.01088252,-0.1035199
320,2,12,1,1,1,11,-0.00026984,-0.01252056,0.01638552
321,3,12,1,1,1,11,1.245e-05,-0.00014176,0.00036199
322,1,12,1,1,2,11,-0.0017478,-0.00128759,-0.00526025
323,2,12,1,1,2,11,-0.16585809,0.02728051,0.04217349
324,3,12,1,1,2,11,0.00036635,-0.01128709,0.02148824
325,1,12,1,1,3,11,-0.0,0.0,0.0
326,2,12,1,1,3,11,-0.00214244,0.00088239,-0.00207055
327,3,12,1,1,3,11,-0.11786012,0.04016811,0.1856728
328,1,12,1,1,4,11,0.0,-0.0,0.0
329,2,12,1,1,4,11,0.0,0.0,0.0
330,3,12,1,1,4,11,-0.00206224,0.00096342,0.0018666
331,1,12,1,1,1,12,0.01439744,-0.04497417,0.01163927
332,2,12,1,1,1,12,7.325e-05,-0.00071495,0.00101816
333,3,12,1,1,1,12,6e-08,-1.5e-06,5.75e-06
334,1,12,1,1,2,12,0.03364835,0.01108868,0.01576428
335,2,12,1,1,2,12,0.00763293,-0.03110408,0.02153023
336,3,12,1,1,2,12,2.553e-05,-0.00027499,0.00050457
337,1,12,1,1,3,12,-0.01173818,0.01052579,0.01683668
338,2,12,1,1,3,12,0.06149548,0.01159392,-0.0196485
339,3,12,1,1,3,12,0.00437241,-0.02166954,0.02206774
340,1,12,1,1,4,12,0.0,-0.0,0.0
341,2,12,1,1,4,12,-0.01156814,-0.00566409,0.00992503
342,3,12,1,1,4,12,0.07154838,-0.00019943,-0.11409442
343,1,12,1,1,5,12,-0.0,0.0,-0.0
344,2,12,1,1,5,12,-0.0,-0.0,-0.0
345,3,12,1,1,5,12,-0.01008685,-0.01890318,-0.009578
346,1,12,1,1,1,13,0.0920532,-0.00226992,0.05257702
347,2,12,1,1,1,13,0.00780327,-0.02669932,0.01490892
348,3,12,1,1,1,13,1.974e-05,-0.00021731,0.00035051
349,1,12,1,1,2,13,0.02294417,-0.01618319,-0.02096303
350,2,12,1,1,2,13,0.07973607,-0.01306201,-0.02207511
351,3,12,1,1,2,13,0.00356952,-0.01544199,0.01255595
352,1,12,1,1,3,13,-0.0,0.0,-0.0
353,2,12,1,1,3,13,0.02877558,0.00972589,-0.01585778
354,3,12,1,1,3,13,0.05780554,-0.02388209,-0.09843113
355,1,12,1,1,4,13,0.0,-0.0,0.0
356,2,12,1,1,4,13,0.0,0.0,-0.0
357,3,12,1,1,4,13,0.03345734,0.0451718,0.01788351
358,1,13,1,1,1,12,-0.19852548,0.00312374,-0.16146094
359,2,13,1,1,1,12,-0.0033643,-0.01281138,0.00530638
360,3,13,1,1,1,12,3.324e-05,-0.00033281,0.00073364
361,4,13,1,1,1,12,5e-08,-1.3e-06,5.16e-06
362,1,13,1,1,2,12,-0.00277739,-0.00680932,-0.00599854
363,2,13,1,1,2,12,-0.19016063,0.01064629,-0.10355231
364,3,13,1,1,2,12,-0.0009944,-0.01177181,0.01716464
365,4,13,1,1,2,12,1.462e-05,-0.00016913,0.00045394
366,1,13,1,1,3,12,-0.0,0.0,-0.0
367,2,13,1,1,3,12,-0.00275664,-0.00098801,-0.00545941
368,3,13,1,1,3,12,-0.16514399,0.02712596,0.04267041
369,4,13,1,1,3,12,-4.563e-05,-0.0108339,0.02279434
370,1,13,1,1,4,12,0.0,-0.0,0.0
371,2,13,1,1,4,12,-0.0,0.0,-0.0
372,3,13,1,1,4,12,-0.0032352,0.00085084,-0.00215194
373,4,13,1,1,4,12,-0.11912546,0.04096372,0.19048609
374,1,13,1,1,5,12,-0.0,0.0,-0.0
375,2,13,1,1,5,12,0.0,-0.0,0.0
376,3,13,1,1,5,12,0.0,0.0,-0.0
377,4,13,1,1,5,12,-0.00318879,0.00058008,0.00216568
378,1,13,1,1,1,13,-0.01630902,0.03725757,0.01378622
379,2,13,1,1,1,13,0.03089296,0.0106394,0.01346468
380,3,13,1,1,1,13,0.00823127,-0.03359315,0.02333658
381,4,13,1,1,1,13,3.312e-05,-0.00035755,0.00065748
382,1,13,1,1,2,13,0.0,-0.0,0.0
383,2,13,1,1,2,13,-0.01271941,0.01140567,0.0182441
384,3,13,1,1,2,13,0.05525315,0.01414372,-0.01860109
385,4,13,1,1,2,13,0.00480037,-0.02382525,0.0243565
386,1,13,1,1,3,13,-0.0,0.0,-0.0
387,2,13,1,1,3,13,0.0,-0.0,0.0
388,3,13,1,1,3,13,-0.01276269,-0.00624898,0.01094991
389,4,13,1,1,3,13,0.06433086,0.00386783,-0.10444924
390,1,13,1,1,4,13,0.0,-0.0,0.0
391,2,13,1,1,4,13,-0.0,0.0,-0.0
392,3,13,1,1,4,13,-0.0,-0.0,0.0
393,4,13,1,1,4,13,-0.01154969,-0.0216446,-0.01096705
394,1,13,1,1,1,14,0.08852017,0.00069577,0.07755666
395,2,13,1,1,1,14,0.02035715,-0.05091714,0.0117717
396,3,13,1,1,1,14,8.703e-05,-0.00088298,0.00108908
397,4,13,1,1,1,14,8e-08,-1.89e-06,7.18e-06
398,1,13,1,1,2,14,0.02637223,-0.04639996,-0.01350704
399,2,13,1,1,2,14,0.08308388,0.00074708,0.05013195
400,3,13,1,1,2,14,0.00876394,-0.02996689,0.01663606
401,4,13,1,1,2,14,2.647e-05,-0.00029311,0.00047112
402,1,13,1,1,3,14,-0.0,0.0,-0.0
403,2,13,1,1,3,14,0.02525188,-0.01766004,-0.02266106
404,3,13,1,1,3,14,0.07341208,-0.01181732,-0.02111448
405,4,13,1,1,3,14,0.00411871,-0.01786955,0.01449118
406,1,13,1,1,4,14,0.0,-0.0,0.0
407,2,13,1,1,4,14,-0.0,0.0,-0.0
408,3,13,1,1,4,14,0.03175837,0.01059267,-0.01721544
409,4,13,1,1,4,14,0.05388059,-0.02294544,-0.09482196
410,1,13,1,1,5,14,0.0,0.0,-0.0
411,2,13,1,1,5,14,0.0,-0.0,0.0
412,3,13,1,1,5,14,0.0,0.0,-0.0
413,4,13,1,1,5,14,0.03738462,0.04993864,0.01955848
414,1,14,1,1,1,13,-0.18765733,0.0097041,-0.10404193
415,2,14,1,1,1,13,-0.00180113,-0.01080614,0.01791424
416,3,14,1,1,1,13,1.66e-05,-0.00019591,0.00055617
417,1,14,1,1,2,13,-0.00392985,-0.00059156,-0.00556024
418,2,14,1,1,2,13,-0.16365698,0.02683598,0.04303933
419,3,14,1,1,2,13,-0.00051519,-0.01017745,0.02401309
420,1,14,1,1,3,13,-0.0,0.0,-0.0
421,2,14,1,1,3,13,-0.00453573,0.00076959,-0.00216039
422,3,14,1,1,3,13,-0.11938911,0.04147227,0.19407469
423,1,14,1,1,4,13,0.0,-0.0,0.0
424,2,14,1,1,4,13,0.0,-0.0,-0.0
425,3,14,1,1,4,13,-0.00456604,-5.709e-05,0.00239781
426,1,14,1,1,1,14,0.01641728,-0.05130048,0.01328722
427,2,14,1,1,1,14,0.00011493,-0.00112606,0.00160818
428,3,14,1,1,1,14,1.4e-07,-3.37e-06,1.294e-05
429,1,14,1,1,2,14,0.02690019,0.01361064,0.01264906
430,2,14,1,1,2,14,0.00881246,-0.03595492,0.02501111
