,k1,L1,k2,L2,k3,L3,rho1,rho2
487,3,15,1,1,4,15,0.0,-0.0
488,4,15,1,1,4,15,0.06561064,0.05200743
489,1,15,1,1,1,16,0.19713436,-0.01366683
490,2,15,1,1,1,16,-0.02046096,0.0438733
491,3,15,1,1,1,16,-6.983e-05,0.00087078
492,4,15,1,1,1,16,-3e-08,1.37e-06
493,1,15,1,1,2,16,-0.04215697,0.04244257
494,2,15,1,1,2,16,0.19308635,-0.02241725
495,3,15,1,1,2,16,-0.00771519,0.02448649
496,4,15,1,1,2,16,-1.989e-05,0.00027599
497,1,15,1,1,3,16,-0.0,0.0
498,2,15,1,1,3,16,-0.04162384,0.01693926
499,3,15,1,1,3,16,0.16794236,-0.02898333
500,4,15,1,1,3,16,-0.00313408,0.01392575
501,1,15,1,1,4,16,0.0,-0.0
502,2,15,1,1,4,16,-0.0,0.0
503,3,15,1,1,4,16,-0.05448159,-0.01050696
504,4,15,1,1,4,16,0.12344468,-0.03366079
505,1,15,1,1,5,16,0.0,0.0
506,2,15,1,1,5,16,0.0,0.0
507,3,15,1,1,5,16,-0.0,0.0
508,4,15,1,1,5,16,-0.06765537,-0.05362822
509,1,16,1,1,1,15,-0.00515148,0.00150702
510,2,16,1,1,1,15,-0.02232548,0.04999865
511,3,16,1,1,1,15,-7.191e-05,0.00064324
512,1,16,1,1,2,15,-0.03734916,0.01519964
513,2,16,1,1,2,15,-0.00272857,0.01188824
514,3,16,1,1,2,15,-0.01342128,0.03842803
515,1,16,1,1,3,15,-0.0,0.0
516,2,16,1,1,3,15,-0.0373994,-0.0072126
517,3,16,1,1,3,15,-0.00180851,0.02398556
518,1,16,1,1,4,15,0.0,0.0
519,2,16,1,1,4,15,0.0,0.0
520,3,16,1,1,4,15,-0.03459324,-0.02742094
521,1,16,1,1,1,16,-0.04766369,0.08478829
522,2,16,1,1,1,16,-0.00019559,0.00186963
523,3,16,1,1,1,16,-1.3e-07,3.39e-06
524,1,16,1,1,2,16,0.02314759,0.04432933
525,2,16,1,1,2,16,-0.02199811,0.05504897
526,3,16,1,1,2,16,-6.787e-05,0.00069068
527,1,16,1,1,3,16,0.05745529,-0.02338204
528,2,16,1,1,3,16,0.03578754,0.08046597
529,3,16,1,1,3,16,-0.01128092,0.03687723
530,1,16,1,1,4,16,0.0,-0.0
531,2,16,1,1,4,16,0.06611898,0.01275127
