,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3,rho4
280,2,11,1,1,5,10,0.0,-0.0,0.0,-0.0
281,3,11,1,1,5,10,0.0,-0.00025561,-0.00028132,-7.41e-05
282,4,11,1,1,5,10,0.01499114,0.00893102,-0.00603863,-0.00402999
283,1,11,1,1,1,11,-0.04224521,0.04123396,-0.01836755,0.03506245
284,2,11,1,1,1,11,-0.01888276,-0.01453481,-0.01145009,-0.0508613
285,3,11,1,1,1,11,0.01167519,-0.0321345,-0.00974828,0.00262841
286,4,11,1,1,1,11,-1.07e-06,-0.00046241,0.00059952,0.0004102
287,1,11,1,1,2,11,0.0,0.00183574,-0.00088014,-0.00066787
288,2,11,1,1,2,11,-0.03806791,0.01381527,-0.01937804,-0.00822112
289,3,11,1,1,2,11,-0.03488316,-0.02074364,0.0068588,-0.03573427
290,4,11,1,1,2,11,0.00503954,-0.02003995,-0.01025135,0.03424307
291,1,11,1,1,3,11,0.0,0.0,0.0,-0.0
292,2,11,1,1,3,11,0.0,0.0012189,0.00037855,-0.00032586
293,3,11,1,1,3,11,-0.04326105,-0.00672277,-0.00989324,-0.02987612
294,4,11,1,1,3,11,-0.04050452,-0.01217758,0.0542349,0.03796806
295,1,11,1,1,4,11,-0.0,-0.0,-0.0,0.0
296,2,11,1,1,4,11,-0.0,0.0,-0.0,-0.0
297,3,11,1,1,4,11,-0.0,0.00078197,0.00086062,0.00022668
298,4,11,1,1,4,11,-0.0426083,-0.02553256,0.01770878,0.01191122
299,1,11,1,1,1,12,-0.13819534,0.00637571,-0.08098082,0.01092048
300,2,11,1,1,1,12,0.00930042,-0.01790696,-0.00331802,-0.02359072
301,3,11,1,1,1,12,-2.089e-05,-0.00074432,0.00075858,0.00012343
302,4,11,1,1,1,12,-4e-08,-6.6e-07,6.32e-06,-8e-07
303,1,11,1,1,2,12,0.02200499,-0.01815809,0.01454013,-0.02584806
304,2,11,1,1,2,12,-0.13331344,0.01253447,-0.05117458,0.01467653
305,3,11,1,1,2,12,0.00262136,-0.00897473,-0.00722785,0.00176566
306,4,11,1,1,2,12,-6.76e-06,-0.00018929,0.00025959,0.00020875
307,1,11,1,1,3,12,-0.0,-0.00156923,0.00075236,0.00057091
308,2,11,1,1,3,12,0.02460432,-0.00714952,0.02005526,0.00664121
309,3,11,1,1,3,12,-0.11479916,0.02648628,0.02077244,0.00549679
310,4,11,1,1,3,12,0.00064627,-0.00433013,-0.00578666,0.01391479
