,k1,L1,k2,L2,k3,L3,rho1
474,2,15,1,1,1,15,-0.06231237
475,3,15,1,1,1,15,-0.0041656
476,4,15,1,1,1,15,-2.807e-05
477,1,15,1,1,2,15,-0.0
478,2,15,1,1,2,15,0.0
479,3,15,1,1,2,15,-0.11161804
480,4,15,1,1,2,15,-0.00308836
481,1,15,1,1,3,15,0.0
482,2,15,1,1,3,15,0.0
483,3,15,1,1,3,15,0.0
484,4,15,1,1,3,15,-0.12849951
485,1,15,1,1,4,15,0.0
486,2,15,1,1,4,15,0.0
487,3,15,1,1,4,15,0.0
488,4,15,1,1,4,15,0.0
489,1,15,1,1,1,16,-0.305998
490,2,15,1,1,1,16,-0.01138995
491,3,15,1,1,1,16,-6.805e-05
492,4,15,1,1,1,16,-8e-08
493,1,15,1,1,2,16,-0.0
494,2,15,1,1,2,16,-0.29347549
495,3,15,1,1,2,16,-0.00593666
496,4,15,1,1,2,16,-2.345e-05
497,1,15,1,1,3,16,-0.0
498,2,15,1,1,3,16,-0.0
499,3,15,1,1,3,16,-0.25717995
500,4,15,1,1,3,16,-0.00334674
501,1,15,1,1,4,16,0.0
502,2,15,1,1,4,16,0.0
503,3,15,1,1,4,16,-0.0
504,4,15,1,1,4,16,-0.18903579
505,1,15,1,1,5,16,-0.0
506,2,15,1,1,5,16,-0.0
507,3,15,1,1,5,16,-0.0
508,4,15,1,1,5,16,-0.0
509,1,16,1,1,1,15,0.38648883
510,2,16,1,1,1,15,0.00279928
511,3,16,1,1,1,15,-1.547e-05
512,1,16,1,1,2,15,-0.0
513,2,16,1,1,2,15,0.33815285
514,3,16,1,1,2,15,0.00110683
515,1,16,1,1,3,15,0.0
516,2,16,1,1,3,15,-0.0
517,3,16,1,1,3,15,0.24842189
518,1,16,1,1,4,15,-0.0
519,2,16,1,1,4,15,0.0
520,3,16,1,1,4,15,-0.0
521,1,16,1,1,1,16,-0.00600696
522,2,16,1,1,1,16,-8.512e-05
523,3,16,1,1,1,16,-1.4e-07
524,1,16,1,1,2,16,-0.05787109
525,2,16,1,1,2,16,-0.00444299
526,3,16,1,1,2,16,-3.462e-05
527,1,16,1,1,3,16,0.0
528,2,16,1,1,3,16,-0.10403806
529,3,16,1,1,3,16,-0.00332233
530,1,16,1,1,4,16,-0.0
531,2,16,1,1,4,16,0.0
532,3,16,1,1,4,16,-0.1197788
533,1,16,1,1,5,16,0.0
534,2,16,1,1,5,16,-0.0
535,3,16,1,1,5,16,0.0
536,1,16,1,1,1,17,-0.2899274
537,2,16,1,1,1,17,-0.00658777
538,3,16,1,1,1,17,-2.959e-05
539,1,16,1,1,2,17,-0.0
540,2,16,1,1,2,17,-0.25430244
541,3,16,1,1,2,17,-0.0037732
542,1,16,1,1,3,17,0.0
543,2,16,1,1,3,17,-0.0
544,3,16,1,1,3,17,-0.18795658
545,1,16,1,1,4,17,-0.0
546,2,16,1,1,4,17,0.0
547,3,16,1,1,4,17,-0.0
548,1,17,1,1,1,16,0.40179089
549,2,17,1,1,1,16,0.00787071
550,3,17,1,1,1,16,-3.402e-05
551,4,17,1,1,1,16,-1.3e-07
552,1,17,1,1,2,16,0.0
553,2,17,1,1,2,16,0.38604902
554,3,17,1,1,2,16,0.00344082
555,4,17,1,1,2,16,-1.745e-05
556,1,17,1,1,3,16,-0.0
557,2,17,1,1,3,16,-0.0
558,3,17,1,1,3,16,0.3390815
559,4,17,1,1,3,16,0.00148262
560,1,17,1,1,4,16,0.0
561,2,17,1,1,4,16,-0.0
562,3,17,1,1,4,16,0.0
563,4,17,1,1,4,16,0.25047729
564,1,17,1,1,5,16,-0.0
565,2,17,1,1,5,16,0.0
566,3,17,1,1,5,16,0.0
567,4,17,1,1,5,16,-0.0
568,1,17,1,1,1,17,0.0
569,2,17,1,1,1,17,-0.05436006
570,3,17,1,1,1,17,-0.00470828
571,4,17,1,1,1,17,-4.19e-05
572,1,17,1,1,2,17,-0.0
573,2,17,1,1,2,17,0.0
574,3,17,1,1,2,17,-0.09727796
575,4,17,1,1,2,17,-0.00355143
576,1,17,1,1,3,17,0.0
577,2,17,1,1,3,17,0.0
578,3,17,1,1,3,17,0.0
579,4,17,1,1,3,17,-0.11200119
580,1,17,1,1,4,17,-0.0
581,2,17,1,1,4,17,0.0
582,3,17,1,1,4,17,-0.0
583,4,17,1,1,4,17,0.0
584,1,17,1,1,1,18,-0.29699723
585,2,17,1,1,1,18,-0.0137653
586,3,17,1,1,1,18,-0.00010322
587,4,17,1,1,1,18,-1.5e-07
588,1,17,1,1,2,18,-0.0
589,2,17,1,1,2,18,-0.28488095
590,3,17,1,1,2,18,-0.00728794
591,4,17,1,1,2,18,-3.699e-05
592,1,17,1,1,3,18,-0.0
593,2,17,1,1,3,18,-0.0
594,3,17,1,1,3,18,-0.25111484
595,4,17,1,1,3,18,-0.00421314
596,1,17,1,1,4,18,0.0
597,2,17,1,1,4,18,0.0
598,3,17,1,1,4,18,-0.0
599,4,17,1,1,4,18,-0.18644507
600,1,17,1,1,5,18,-0.0
601,2,17,1,1,5,18,-0.0
602,3,17,1,1,5,18,0.0
603,4,17,1,1,5,18,-0.0
604,1,18,1,1,1,17,0.38627793
605,2,18,1,1,1,17,0.00410911
606,3,18,1,1,1,17,-1.929e-05
607,1,18,1,1,2,17,-0.0
608,2,18,1,1,2,17,0.339666
609,3,18,1,1,2,17,0.00189274
610,1,18,1,1,3,17,0.0
611,2,18,1,1,3,17,0.0
612,3,18,1,1,3,17,0.25204209
613,1,18,1,1,4,17,-0.0
614,2,18,1,1,4,17,-0.0
615,3,18,1,1,4,17,-0.0
616,1,18,1,1,1,18,-0.00668155
617,2,18,1,1,1,18,-0.0001211
618,3,18,1,1,1,18,-2.6e-07
619,1,18,1,1,2,18,-0.05066722
620,2,18,1,1,2,18,-0.00497983
621,3,18,1,1,2,18,-5.04e-05
622,1,18,1,1,3,18,0.0
623,2,18,1,1,3,18,-0.09120379
624,3,18,1,1,3,18,-0.00377593
625,1,18,1,1,4,18,-0.0
626,2,18,1,1,4,18,0.0
627,3,18,1,1,4,18,-0.10501346
628,1,18,1,1,5,18,0.0
629,2,18,1,1,5,18,0.0
630,3,18,1,1,5,18,0.0
631,1,18,1,1,1,19,-0.28127433
632,2,18,1,1,1,19,-0.00796817
633,3,18,1,1,1,19,-4.526e-05
634,1,18,1,1,2,19,-0.0
635,2,18,1,1,2,19,-0.24766465
636,3,18,1,1,2,19,-0.00466567
637,1,18,1,1,3,19,0.0
638,2,18,1,1,3,19,-0.0
639,3,18,1,1,3,19,-0.18457882
640,1,18,1,1,4,19,-0.0
641,2,18,1,1,4,19,-0.0
642,3,18,1,1,4,19,-0.0
643,1,19,1,1,1,18,0.40075143
644,2,19,1,1,1,18,0.01053507
645,3,19,1,1,1,18,-3.937e-05
646,4,19,1,1,1,18,-2.2e-07
647,1,19,1,1,2,18,-0.0
648,2,19,1,1,2,18,0.38516568
649,3,19,1,1,2,18,0.00486882
650,4,19,1,1,2,18,-2.108e-05
651,1,19,1,1,3,18,0.0
652,2,19,1,1,3,18,0.0
653,3,19,1,1,3,18,0.33994023
654,4,19,1,1,3,18,0.00233734
655,1,19,1,1,4,18,-0.0
656,2,19,1,1,4,18,-0.0
657,3,19,1,1,4,18,-0.0
658,4,19,1,1,4,18,0.25319325
659,1,19,1,1,5,18,0.0
660,2,19,1,1,5,18,-0.0
661,3,19,1,1,5,18,0.0
662,4,19,1,1,5,18,-0.0
663,1,19,1,1,1,19,0.0
664,2,19,1,1,1,19,-0.04796499
665,3,19,1,1,1,19,-0.00523298
666,4,19,1,1,1,19,-5.953e-05
667,1,19,1,1,2,19,-0.0
668,2,19,1,1,2,19,0.0
669,3,19,1,1,2,19,-0.08571099
670,4,19,1,1,2,19,-0.00399599
671,1,19,1,1,3,19,-0.0
672,2,19,1,1,3,19,-0.0
673,3,19,1,1,3,19,0.0
674,4,19,1,1,3,19,-0.09869385
675,1,19,1,1,4,19,0.0
676,2,19,1,1,4,19,0.0
677,3,19,1,1,4,19,-0.0
678,4,19,1,1,4,19,0.0
679,1,19,1,1,1,20,-0.287544
680,2,19,1,1,1,20,-0.01626201
681,3,19,1,1,1,20,-0.00014968
682,4,19,1,1,1,20,-2.8e-07
683,1,19,1,1,2,20,-0.0
684,2,19,1,1,2,20,-0.2755461
685,3,19,1,1,2,20,-0.00872057
686,4,19,1,1,2,20,-5.527e-05
687,1,19,1,1,3,20,0.0
688,2,19,1,1,3,20,-0.0
689,3,19,1,1,3,20,-0.24398275
690,4,19,1,1,3,20,-0.00512989
691,1,19,1,1,4,20,0.0
692,2,19,1,1,4,20,0.0
693,3,19,1,1,4,20,-0.0
694,4,19,1,1,4,20,-0.18241602
695,1,19,1,1,5,20,-0.0
696,2,19,1,1,5,20,-0.0
697,3,19,1,1,5,20,0.0
698,4,19,1,1,5,20,-0.0
699,1,20,1,1,1,19,0.38530447
700,2,20,1,1,1,19,0.00562846
